id,codigo,nome,tipo,ativo,ID_CORBAN,DIVISAO,createdAt,updatedAt
144,af1,ANUNCIO 1 FGTS,TRAFEGO,true,7572,,2026-01-22T19:50:48.188Z,2026-04-14T12:38:53.102Z
145,af2,ANUNCIO 2 FGTS,TRAFEGO,true,7573,,2026-01-23T17:44:53.260Z,2026-04-14T12:38:54.691Z
146,af3,ANUNCIO 3 FGTS,TRAFEGO,true,7574,,2026-01-23T17:45:21.253Z,2026-04-14T12:38:55.881Z
147,af4,ANUNCIO 4 FGTS,TRAFEGO,true,7575,,2026-01-23T17:45:35.775Z,2026-04-14T12:38:56.958Z
148,af5,ANUNCIO 5 FGTS,TRAFEGO,true,7576,,2026-01-23T17:46:00.076Z,2026-04-14T12:38:58.111Z
149,af6,ANUNCIO 6 FGTS,TRAFEGO,true,7577,,2026-01-23T17:46:16.333Z,2026-04-14T12:38:59.265Z
150,af7,ANUNCIO 7 FGTS,TRAFEGO,true,7578,,2026-01-23T17:46:33.707Z,2026-04-14T12:39:00.466Z
151,af8,ANUNCIO 8 FGTS,TRAFEGO,true,7579,,2026-01-23T17:46:47.614Z,2026-04-14T12:39:03.336Z
152,af9,ANUNCIO 9 FGTS,TRAFEGO,true,7580,,2026-01-23T17:46:59.863Z,2026-04-14T12:39:04.765Z
153,af10,ANUNCIO 10 FGTS,TRAFEGO,true,7581,,2026-01-23T17:47:12.321Z,2026-04-14T12:39:06.786Z
154,af11,ANUNCIO 11 FGTS,TRAFEGO,true,7582,,2026-01-23T17:47:42.681Z,2026-04-14T12:39:08.032Z
155,af12,ANUNCIO 12 FGTS,TRAFEGO,true,7583,,2026-01-23T17:48:16.703Z,2026-04-14T12:39:09.465Z
156,af13,ANUNCIO 13 FGTS,TRAFEGO,true,7584,,2026-01-23T17:48:30.890Z,2026-04-14T12:39:11.581Z
157,af14,ANUNCIO 14 FGTS,TRAFEGO,true,7585,,2026-01-23T17:48:46.122Z,2026-04-14T12:39:12.811Z
158,af15,ANUNCIO 15 FGTS,TRAFEGO,true,7586,,2026-01-23T17:49:00.130Z,2026-04-14T12:39:14.032Z
159,af16,ANUNCIO 16 FGTS,TRAFEGO,true,7587,,2026-01-23T17:49:13.113Z,2026-04-14T12:39:15.661Z
160,s7,LARISSA STEIMBACH,INFLUENCER,true,7594,,2026-01-26T19:35:37.424Z,2026-01-26T19:38:57.322Z
161,m7,MAPA DAS FINANÇAS,INFLUENCER,true,7607,,2026-01-28T18:45:05.031Z,2026-01-28T18:45:41.851Z
162,t1,ANUNCIO SITE CLT,TRAFEGO,false,,,2026-02-07T02:25:03.198Z,2026-04-14T12:39:22.847Z
163,cj1,CANAL DO JEFINHO YT,INFLUENCER,true,7814,,2026-02-10T15:05:57.295Z,2026-02-10T16:09:57.911Z
164,cj2,CANAL DO JEFINHO TK,INFLUENCER,true,7815,,2026-02-10T15:07:05.159Z,2026-02-10T16:10:03.508Z
165,yf1,ANUNCIO 1 FGTS YOUTUBE,TRAFEGO,true,7816,,2026-02-10T19:29:28.304Z,2026-04-14T12:39:32.795Z
166,yc1,ANUNCIO 1 CLT YOUTUBE,TRAFEGO,true,7588,,2026-02-12T21:16:48.850Z,2026-04-14T12:39:34.092Z
